requested_model_name,actual_model_name,model_pretty_name,hf_id,architecture,total_params_b,active_params_b,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,std_latency_sec,mean_output_tokens,mean_tokens_per_sec,peak_vram_gb,flops_per_token
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,arc_challenge,cot,100,96,0.96,0.9016278276739262,0.984336949448152,1.2714365758746862,1.9855697857074064,26.04,17.613787004808895,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,arc_challenge,cot,100,75,0.75,0.6569535362992417,0.8245490599627573,0.25500049490481613,0.522814981409221,8.25,32.20114317134879,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,arc_challenge,cot,100,67,0.67,0.5730516033971139,0.7543701620610456,2.028531077057123,2.2292222120027443,54.51,26.632133697585456,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,arc_challenge,cot,100,27,0.27,0.1926946091766482,0.3643230022623127,1.9951612792909146,0.008959583251957115,128.0,64.15650431141769,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,arc_challenge,cot,100,30,0.3,0.21894753866228117,0.39585038432811953,2.4451192398369312,0.03729262813777759,128.0,52.36113376021783,27.305460929870605,28000000000.0
qwen3_30b_a3b,qwen3_30b_a3b,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,moe,30.0,3.0,arc_challenge,cot,100,25,0.25,0.1754509400372426,0.3430464637007583,4.986491956189274,0.09012208877679315,128.0,25.67776661454973,57.62053298950195,6000000000.0
qwen3_8b,qwen3_8b,Qwen3-8B,Qwen/Qwen3-8B,dense,8.0,8.0,arc_challenge,cot,100,24,0.24,0.16691211265459965,0.3323251872329213,2.7277309058979156,0.04406623445117745,128.0,46.9380452680702,15.256451606750488,16000000000.0
gemma_4_26b_a4b,gemma_4_26b_a4b,Gemma-4-26B-A4B,google/gemma-4-26B-A4B-it,moe,26.0,3.8,arc_challenge,few_shot_cot,100,96,0.96,0.9016278276739262,0.984336949448152,0.4106338381022215,0.8014279173569785,6.99,15.066588285658456,48.06737232208252,7600000000.0
gemma_4_e2b,gemma_4_e2b,Gemma-4-E2B,google/gemma-4-E2B-it,moe,5.0,2.0,arc_challenge,few_shot_cot,100,75,0.75,0.6569535362992417,0.8245490599627573,0.23349441550672054,0.0589858871342317,7.55,32.31305709812164,9.543148517608644,4000000000.0
gemma_4_e4b,gemma_4_e4b,Gemma-4-E4B,google/gemma-4-E4B-it,moe,8.0,4.0,arc_challenge,few_shot_cot,100,90,0.9,0.8256326956323347,0.9447714583868639,0.42952378902584315,1.104636829462893,11.44,26.110774867987367,14.894491195678713,8000000000.0
phi_4_mini_reasoning,phi_4_mini_reasoning,Phi-4-mini-reasoning,microsoft/Phi-4-mini-reasoning,dense,3.8,3.8,arc_challenge,few_shot_cot,100,25,0.25,0.1754509400372426,0.3430464637007583,1.9983171197399496,0.008544653168649694,128.0,64.05506691892674,7.145148277282715,7600000000.0
phi_4_reasoning,phi_4_reasoning,Phi-4-reasoning,microsoft/Phi-4-reasoning,dense,14.0,14.0,arc_challenge,few_shot_cot,100,30,0.3,0.21894753866228117,0.39585038432811953,2.433811821602285,0.029134164811820885,128.0,52.599930692748245,27.305460929870605,28000000000.0
