dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
arc_challenge,cot,gemma_4_26b_a4b,gemma_4_e2b,100,0.96,0.75,1,22,17.391304347826086,5.7220458984375e-06
arc_challenge,cot,gemma_4_26b_a4b,gemma_4_e4b,100,0.96,0.67,1,30,25.29032258064516,2.9802322387695312e-08
arc_challenge,cot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.96,0.27,1,70,65.12676056338029,8.735848890518809e-16
arc_challenge,cot,gemma_4_26b_a4b,phi_4_reasoning,100,0.96,0.3,1,67,62.13235294117647,3.5550311609441887e-16
arc_challenge,cot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.96,0.25,1,72,67.12328767123287,2.4422670374772693e-16
arc_challenge,cot,gemma_4_26b_a4b,qwen3_8b,100,0.96,0.24,1,73,68.12162162162163,1.8345664258432237e-15
arc_challenge,cot,gemma_4_e2b,gemma_4_e4b,100,0.75,0.67,12,20,1.53125,0.21532714972272515
arc_challenge,cot,gemma_4_e2b,phi_4_mini_reasoning,100,0.75,0.27,6,54,36.81666666666667,9.722961671898567e-11
arc_challenge,cot,gemma_4_e2b,phi_4_reasoning,100,0.75,0.3,7,52,32.813559322033896,1.3589917802203644e-09
arc_challenge,cot,gemma_4_e2b,qwen3_30b_a3b,100,0.75,0.25,6,56,38.725806451612904,2.972584851879123e-11
arc_challenge,cot,gemma_4_e2b,qwen3_8b,100,0.75,0.24,5,56,40.98360655737705,5.645556938604912e-12
arc_challenge,cot,gemma_4_e4b,phi_4_mini_reasoning,100,0.67,0.27,1,41,36.214285714285715,1.9554136088117957e-11
arc_challenge,cot,gemma_4_e4b,phi_4_reasoning,100,0.67,0.3,2,39,31.609756097560975,7.839844329282641e-10
arc_challenge,cot,gemma_4_e4b,qwen3_30b_a3b,100,0.67,0.25,1,43,38.20454545454545,5.115907697472721e-12
arc_challenge,cot,gemma_4_e4b,qwen3_8b,100,0.67,0.24,1,44,39.2,2.6147972675971687e-12
arc_challenge,cot,phi_4_mini_reasoning,phi_4_reasoning,100,0.27,0.3,3,0,1.3333333333333333,0.25
arc_challenge,cot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.27,0.25,1,3,0.25,0.625
arc_challenge,cot,phi_4_mini_reasoning,qwen3_8b,100,0.27,0.24,2,5,0.5714285714285714,0.453125
arc_challenge,cot,phi_4_reasoning,qwen3_30b_a3b,100,0.3,0.25,0,5,3.2,0.0625
arc_challenge,cot,phi_4_reasoning,qwen3_8b,100,0.3,0.24,0,6,4.166666666666667,0.03125
arc_challenge,cot,qwen3_30b_a3b,qwen3_8b,100,0.25,0.24,3,4,0.0,1.0
arc_challenge,few_shot_cot,gemma_4_26b_a4b,gemma_4_e2b,100,0.96,0.75,1,22,17.391304347826086,5.7220458984375e-06
arc_challenge,few_shot_cot,gemma_4_26b_a4b,gemma_4_e4b,100,0.96,0.9,2,8,2.5,0.109375
arc_challenge,few_shot_cot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.96,0.25,0,71,69.01408450704226,8.735848890518809e-16
arc_challenge,few_shot_cot,gemma_4_26b_a4b,phi_4_reasoning,100,0.96,0.3,0,66,64.01515151515152,1.3002836654618655e-15
arc_challenge,few_shot_cot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.96,0.27,0,69,67.01449275362319,1.857035033560328e-16
arc_challenge,few_shot_cot,gemma_4_26b_a4b,qwen3_8b,100,0.96,0.25,0,71,69.01408450704226,8.735848890518809e-16
arc_challenge,few_shot_cot,gemma_4_e2b,gemma_4_e4b,100,0.75,0.9,19,4,8.521739130434783,0.002599477767944336
arc_challenge,few_shot_cot,gemma_4_e2b,phi_4_mini_reasoning,100,0.75,0.25,5,55,40.016666666666666,1.0382663478969434e-11
arc_challenge,few_shot_cot,gemma_4_e2b,phi_4_reasoning,100,0.75,0.3,7,52,32.813559322033896,1.3589917802203644e-09
arc_challenge,few_shot_cot,gemma_4_e2b,qwen3_30b_a3b,100,0.75,0.27,6,54,36.81666666666667,9.722961671898567e-11
arc_challenge,few_shot_cot,gemma_4_e2b,qwen3_8b,100,0.75,0.25,5,55,40.016666666666666,1.0382663478969434e-11
arc_challenge,few_shot_cot,gemma_4_e4b,phi_4_mini_reasoning,100,0.9,0.25,3,68,57.690140845070424,8.735848890518809e-16
arc_challenge,few_shot_cot,gemma_4_e4b,phi_4_reasoning,100,0.9,0.3,3,63,52.74242424242424,1.3002836654618655e-15
arc_challenge,few_shot_cot,gemma_4_e4b,qwen3_30b_a3b,100,0.9,0.27,3,66,55.710144927536234,1.857035033560328e-16
arc_challenge,few_shot_cot,gemma_4_e4b,qwen3_8b,100,0.9,0.25,2,67,59.36231884057971,1.857035033560328e-16
arc_challenge,few_shot_cot,phi_4_mini_reasoning,phi_4_reasoning,100,0.25,0.3,5,0,3.2,0.0625
arc_challenge,few_shot_cot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.25,0.27,3,1,0.25,0.625
arc_challenge,few_shot_cot,phi_4_mini_reasoning,qwen3_8b,100,0.25,0.25,4,4,0.125,1.0
arc_challenge,few_shot_cot,phi_4_reasoning,qwen3_30b_a3b,100,0.3,0.27,1,4,0.8,0.375
arc_challenge,few_shot_cot,phi_4_reasoning,qwen3_8b,100,0.3,0.25,1,6,2.2857142857142856,0.125
arc_challenge,few_shot_cot,qwen3_30b_a3b,qwen3_8b,100,0.27,0.25,2,4,0.16666666666666666,0.6875
arc_challenge,zero_shot,gemma_4_26b_a4b,gemma_4_e2b,100,0.96,0.75,1,22,17.391304347826086,5.7220458984375e-06
arc_challenge,zero_shot,gemma_4_26b_a4b,gemma_4_e4b,100,0.96,0.67,1,30,25.29032258064516,2.9802322387695312e-08
arc_challenge,zero_shot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.96,0.27,1,70,65.12676056338029,8.735848890518809e-16
arc_challenge,zero_shot,gemma_4_26b_a4b,phi_4_reasoning,100,0.96,0.3,1,67,62.13235294117647,3.5550311609441887e-16
arc_challenge,zero_shot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.96,0.25,1,72,67.12328767123287,2.4422670374772693e-16
arc_challenge,zero_shot,gemma_4_26b_a4b,qwen3_8b,100,0.96,0.24,1,73,68.12162162162163,1.8345664258432237e-15
